Info    2021-04-08 15:33:30:0506  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(8600)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 15:33:30:0506  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(8600)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 15:33:30:0885  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(8600)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 15:33:30:0975  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(8600)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 15:33:30:0978  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(8600)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[4369]     Solution:
Info    2021-04-08 15:33:31:0026  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2082)  ProcessName:python.exe(8600)     Description:[GEV]Width[1280], Height[960], PixelFormat[0x1080001], PayloadSize[1228800], ChunkCount[0], CompressMode[0], DeviceUptime[4369]     Solution:
Info    2021-04-08 15:33:31:0043  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7256)  ProcessName:python.exe(8600)     Description:CamCtrl RecvThread Start, ThreadId[11188]     Solution:
Info    2021-04-08 15:33:31:0044  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7066)  ProcessName:python.exe(8600)     Description:CamCtrl Display Thread Start, ThreadId[656]     Solution:
Info    2021-04-08 15:33:31:0057  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2238)  ProcessName:python.exe(8600)     Description:Start grabbing success, There is no registration callback.     Solution:
Info    2021-04-08 15:59:56:0752  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(2244)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 15:59:56:0752  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(2244)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 15:59:56:0752  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(2244)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 15:59:56:0752  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(2244)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 15:59:57:0153  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(2244)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 15:59:57:0242  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(2244)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 15:59:57:0245  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(2244)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[5956]     Solution:
Info    2021-04-08 15:59:57:0293  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2082)  ProcessName:python.exe(2244)     Description:[GEV]Width[1280], Height[960], PixelFormat[0x1080001], PayloadSize[1228800], ChunkCount[0], CompressMode[0], DeviceUptime[5956]     Solution:
Info    2021-04-08 15:59:57:0312  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7256)  ProcessName:python.exe(2244)     Description:CamCtrl RecvThread Start, ThreadId[2512]     Solution:
Info    2021-04-08 15:59:57:0312  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7066)  ProcessName:python.exe(2244)     Description:CamCtrl Display Thread Start, ThreadId[16716]     Solution:
Info    2021-04-08 15:59:57:0325  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2238)  ProcessName:python.exe(2244)     Description:Start grabbing success, There is no registration callback.     Solution:
